Distance_(pixels),Gray_Value
0,3.250
1,2.250
2,11.250
3,5.750
4,1.500
5,6.750
6,2.000
7,2.250
8,0.000
9,1.500
10,3.250
11,5.750
12,9.500
13,2.250
14,1.500
15,0.000
16,2.000
17,3.250
18,4.500
19,10.750
20,5.000
21,9.500
22,6.000
23,8.250
24,4.250
25,0.000
26,1.750
27,1.000
28,0.250
29,0.750
30,3.000
31,6.000
32,6.000
33,1.250
34,1.000
35,0.000
36,8.250
37,6.250
38,3.750
39,1.500
40,0.000
41,1.250
42,5.250
43,2.000
44,3.750
45,0.750
46,2.000
47,3.000
48,13.000
49,3.000
50,10.500
51,0.000
52,1.500
53,5.750
54,0.750
55,2.750
56,0.000
57,4.500
58,1.250
59,6.250
60,3.250
61,3.250
62,3.250
63,0.250
64,3.500
65,2.250
66,0.000
67,2.250
68,1.000
69,2.750
70,5.000
71,2.750
72,1.000
73,3.000
74,0.000
75,2.250
76,2.250
77,4.000
78,0.000
79,1.500
80,3.000
81,3.000
82,4.250
83,4.750
84,1.000
85,1.250
86,6.000
87,0.000
88,4.250
89,3.000
90,0.000
91,3.000
92,1.250
93,7.000
94,5.750
95,5.750
96,8.000
97,10.750
98,2.750
99,0.000
100,1.250
101,6.250
102,2.750
103,3.750
104,4.000
105,6.250
106,1.750
107,5.250
108,4.000
109,5.000
110,0.500
111,0.250
112,2.500
113,1.250
114,0.500
115,3.500
116,0.000
117,0.000
118,4.750
119,2.500
120,4.750
121,2.500
122,4.250
123,2.500
124,0.000
125,1.000
126,6.750
127,0.000
128,4.750
129,6.750
130,3.250
131,8.250
132,3.750
133,5.500
134,8.000
135,3.250
136,0.250
137,0.000
138,4.750
139,1.750
140,2.000
141,2.500
142,3.500
143,6.500
144,8.000
145,8.250
146,6.750
147,5.750
148,5.750
149,1.250
150,3.500
151,7.500
152,0.000
153,1.250
154,5.750
155,2.250
156,8.750
157,7.250
158,5.750
159,4.750
160,3.500
161,1.500
162,2.500
163,1.750
164,4.000
165,2.000
166,2.000
167,0.500
168,5.500
169,2.500
170,2.250
171,2.500
172,3.250
173,0.000
174,0.500
175,2.000
176,1.000
177,1.750
178,6.500
179,6.750
180,1.250
181,10.000
182,5.000
183,10.500
184,3.000
185,0.250
186,5.500
187,1.500
188,6.250
189,1.250
190,2.000
191,3.750
192,2.750
193,3.500
194,3.500
195,2.750
196,4.250
197,2.750
198,5.500
199,6.000
200,0.000
201,1.000
202,3.750
203,2.500
204,5.500
205,5.750
206,1.250
207,2.500
208,6.750
209,1.500
210,2.000
211,5.750
212,3.750
213,5.750
214,9.000
215,12.750
216,0.000
217,0.750
218,1.000
219,5.000
220,1.500
221,0.000
222,0.000
223,5.000
224,6.250
225,5.250
226,4.750
227,7.250
228,24.750
229,35.250
230,50.000
231,61.250
232,76.000
233,87.500
234,101.000
235,122.500
236,129.750
237,131.500
238,127.500
239,133.000
240,139.750
241,139.750
242,128.500
243,117.250
244,126.000
245,133.000
246,130.250
247,130.000
248,119.250
249,109.500
250,108.250
251,108.000
252,96.000
253,92.000
254,92.000
255,89.250
256,79.250
257,80.250
258,74.000
259,71.250
260,63.000
261,78.500
262,70.250
263,63.500
264,63.000
265,55.500
266,47.250
267,42.500
268,49.750
269,43.500
270,49.000
271,45.500
272,43.500
273,37.250
274,33.250
275,33.500
276,40.000
