Distance_(pixels),Gray_Value
0,1.250
1,4.250
2,2.500
3,1.000
4,1.750
5,0.000
6,1.500
7,0.500
8,0.000
9,1.750
10,1.500
11,1.250
12,5.000
13,4.000
14,1.750
15,0.250
16,0.000
17,2.000
18,0.000
19,0.250
20,0.750
21,1.250
22,3.250
23,2.250
24,3.750
25,1.250
26,3.250
27,0.500
28,0.750
29,0.500
30,2.000
31,0.750
32,0.750
33,3.000
34,2.750
35,2.750
36,5.750
37,0.000
38,0.250
39,0.750
40,4.250
41,1.000
42,0.750
43,6.000
44,0.250
45,0.000
46,1.250
47,0.500
48,1.250
49,0.500
50,1.500
51,1.500
52,0.250
53,0.250
54,1.750
55,0.000
56,5.000
57,1.500
58,4.250
59,1.750
60,1.000
61,1.500
62,2.750
63,3.000
64,4.250
65,0.000
66,0.500
67,1.000
68,1.250
69,0.000
70,1.750
71,1.750
72,0.750
73,2.750
74,0.000
75,1.000
76,1.750
77,1.000
78,0.000
79,0.750
80,1.000
81,1.500
82,2.250
83,1.000
84,3.500
85,2.250
86,0.500
87,3.000
88,2.500
89,0.000
90,1.000
91,1.000
92,0.500
93,1.250
94,2.250
95,3.250
96,6.000
97,0.250
98,0.750
99,2.500
100,3.000
101,0.000
102,0.000
103,1.750
104,1.500
105,2.250
106,3.750
107,1.000
108,2.750
109,0.500
110,1.750
111,1.500
112,2.250
113,2.250
114,1.250
115,4.000
116,1.000
117,2.750
118,0.750
119,1.250
120,3.000
121,0.750
122,1.750
123,0.000
124,1.000
125,2.000
126,2.250
127,2.000
128,0.000
129,0.000
130,1.500
131,1.250
132,1.000
133,1.750
134,1.250
135,0.500
136,2.250
137,5.750
138,3.000
139,0.000
140,2.750
141,1.750
142,4.750
143,3.000
144,0.000
145,2.000
146,1.250
147,1.000
148,2.500
149,3.250
150,4.750
151,5.250
152,1.000
153,4.250
154,1.000
155,0.500
156,1.250
157,2.000
158,1.500
159,2.250
160,0.500
161,1.750
162,1.500
163,1.750
164,2.000
165,0.250
166,0.750
167,1.500
168,0.000
169,3.750
170,0.750
171,1.750
172,2.750
173,1.000
174,0.250
175,1.250
176,0.500
177,5.000
178,4.000
179,4.500
180,0.250
181,0.500
182,2.750
183,0.250
184,0.000
185,0.000
186,0.500
187,0.750
188,0.000
189,1.500
190,2.750
191,0.000
192,2.250
193,1.000
194,4.250
195,3.750
196,0.000
197,0.000
198,3.500
199,1.750
200,4.250
201,2.000
202,3.000
203,5.500
204,14.000
205,31.000
206,43.500
207,45.750
208,56.750
209,61.000
210,71.750
211,80.000
212,84.500
213,90.000
214,94.250
215,97.250
216,101.000
217,103.500
218,101.250
219,108.000
220,105.250
221,107.250
222,105.250
223,104.000
224,108.500
225,106.250
226,104.250
227,105.000
228,100.750
229,99.000
230,95.000
231,94.250
232,89.000
233,85.250
234,89.500
235,80.000
236,73.250
237,70.750
238,71.750
239,66.750
240,64.500
241,60.500
242,63.500
243,54.250
244,54.250
245,56.500
246,45.500
247,48.000
248,41.250
249,47.250
250,44.750
251,43.250
252,40.500
253,37.500
254,39.500
255,37.500
256,34.500
257,32.000
258,34.500
259,29.750
260,31.000
261,25.500
262,21.500
263,22.000
264,25.500
265,28.000
266,34.750
267,20.750
268,27.750
269,28.250
270,30.000
271,33.000
272,28.500
273,27.750
274,29.250
275,25.250
276,27.500
277,20.750
278,32.500
279,29.250
280,36.250
281,38.500
282,35.000
283,40.750
284,43.750
285,37.500
286,44.750
287,46.000
288,44.750
289,43.500
290,45.500
291,52.000
292,58.000
293,53.250
294,56.500
295,60.500
296,59.750
297,59.500
298,59.250
299,61.250
300,56.500
301,59.000
302,62.000
303,57.750
304,59.000
305,58.500
306,57.000
307,55.500
308,51.750
309,52.500
310,54.250
311,54.750
312,49.500
313,52.000
314,54.250
315,49.500
316,42.750
317,46.750
318,43.000
319,43.000
320,45.250
321,41.500
322,41.250
323,33.500
324,35.500
325,34.500
326,37.750
327,34.250
328,36.250
329,32.250
330,27.250
331,31.000
332,28.250
333,26.000
334,26.000
335,17.250
336,16.000
337,21.750
338,23.250
339,24.500
340,18.500
341,16.750
342,20.750
343,15.000
344,18.000
345,16.750
346,17.500
347,13.000
348,11.250
349,14.500
350,16.000
351,13.750
352,14.250
353,13.000
354,12.250
355,10.750
356,8.750
357,7.250
358,4.250
359,7.000
360,8.250
361,8.000
362,6.750
363,11.500
364,7.500
365,6.000
366,7.000
367,7.750
368,9.250
369,5.000
370,13.750
371,11.250
372,8.000
373,8.000
374,8.000
375,10.500
376,10.750
377,4.250
378,5.500
379,5.000
380,11.750
381,10.000
382,8.000
383,12.250
384,11.750
385,5.000
386,8.250
387,9.750
388,6.750
389,6.750
390,8.500
391,7.750
392,10.250
393,13.000
394,9.500
395,6.750
396,9.250
397,9.000
398,9.750
399,11.500
400,5.250
401,5.750
402,10.000
403,11.750
404,13.000
405,9.500
406,7.750
407,9.500
408,11.250
409,11.000
410,6.750
411,5.750
412,6.500
413,5.500
414,3.500
415,9.250
416,5.250
417,7.500
418,2.000
419,4.500
420,9.250
421,5.750
422,5.250
423,4.000
424,2.000
425,7.000
426,5.750
427,8.000
428,4.500
429,2.000
430,6.250
431,4.750
432,4.750
433,1.750
434,5.000
435,6.250
436,5.500
437,4.000
438,5.000
439,3.000
440,5.250
441,4.500
442,1.500
443,2.500
444,4.500
445,2.250
446,2.500
447,1.000
448,1.250
449,2.250
450,2.500
451,6.750
452,2.250
453,0.000
454,2.000
455,3.250
456,3.250
457,4.000
458,0.750
459,4.250
460,3.000
461,4.500
462,2.750
463,0.000
464,1.750
465,0.000
466,0.750
467,0.000
468,1.250
469,0.250
470,2.500
471,0.500
472,2.750
473,0.000
474,2.500
475,2.750
476,2.000
477,3.500
478,3.750
479,0.500
480,1.750
481,1.250
482,3.500
483,1.000
484,1.500
485,1.500
486,1.500
487,0.250
488,0.750
489,2.250
490,0.750
491,4.500
492,4.000
493,0.500
494,1.000
495,0.000
496,0.000
497,0.500
498,2.000
499,0.250
500,1.000
501,1.000
502,0.000
503,3.750
504,2.000
505,3.750
506,0.500
507,0.000
508,0.500
509,1.000
510,2.750
511,0.750
512,0.000
513,1.250
514,4.750
515,1.500
516,2.750
517,4.000
518,0.000
519,2.500
520,2.250
521,0.000
522,0.000
523,0.500
524,1.500
525,1.250
526,0.000
527,2.000
528,0.750
529,1.250
530,0.750
531,0.000
532,2.250
533,0.500
534,0.750
535,0.500
536,2.250
537,1.000
538,1.000
539,3.750
540,2.500
541,1.500
542,0.000
543,2.750
544,7.750
545,3.250
546,2.250
547,1.000
548,0.500
549,0.500
550,2.000
551,6.750
552,0.000
553,4.500
554,3.250
555,1.000
556,2.250
557,6.750
558,2.750
559,0.250
560,0.250
561,0.500
562,1.500
563,0.500
564,0.750
565,0.000
566,0.250
567,2.250
568,2.500
569,0.750
570,1.250
571,0.500
572,0.750
573,2.000
574,2.500
575,0.000
576,2.750
577,2.250
578,1.500
579,0.000
580,1.750
581,3.250
582,1.250
583,2.750
584,3.500
585,4.250
586,3.000
587,0.250
588,0.500
589,3.000
590,1.750
591,0.500
592,0.500
593,0.750
594,5.750
595,0.000
596,2.000
597,3.750
598,1.500
599,1.750
600,3.250
601,1.500
602,2.000
603,1.250
604,3.000
605,0.250
606,2.750
607,0.000
608,5.000
609,1.000
610,3.500
611,4.250
612,2.500
613,4.250
614,0.000
615,1.250
616,0.000
617,0.000
618,0.750
619,0.250
620,0.000
621,3.000
622,0.500
623,3.000
624,0.750
625,2.500
626,5.250
627,2.750
628,5.000
629,0.750
630,0.250
631,1.250
632,2.250
633,0.000
634,1.500
635,0.500
