Distance_(pixels),Gray_Value
0,1.2500
1,0.0000
2,0.0000
3,6.0000
4,2.5000
5,1.7500
6,8.7500
7,6.7500
8,0.0000
9,0.0000
10,6.2500
11,1.2500
12,10.0000
13,6.0000
14,0.2500
15,1.0000
16,1.0000
17,3.0000
18,3.2500
19,0.5000
20,0.2500
21,2.2500
22,0.2500
23,0.0000
24,1.7500
25,0.0000
26,2.7500
27,4.0000
28,3.0000
29,4.2500
30,0.2500
31,2.2500
32,1.5000
33,2.0000
34,4.7500
35,0.0000
36,3.0000
37,3.5000
38,2.2500
39,11.2500
40,7.2500
41,0.0000
42,0.0000
43,1.2500
44,4.0000
45,16.2500
46,3.5000
47,5.0000
48,2.2500
49,3.5000
50,4.7500
51,0.0000
52,3.7500
53,1.2500
54,4.7500
55,10.7500
56,3.0000
57,4.5000
58,10.7500
59,1.2500
60,0.0000
61,3.0000
62,2.0000
63,3.2500
64,1.5000
65,0.0000
66,2.2500
67,3.7500
68,1.0000
69,2.2500
70,8.5000
71,16.5000
72,5.0000
73,1.2500
74,0.2500
75,1.2500
76,4.5000
77,1.2500
78,8.0000
79,0.0000
80,0.7500
81,3.2500
82,8.7500
83,5.7500
84,0.0000
85,0.2500
86,2.2500
87,4.0000
88,7.0000
89,1.2500
90,6.2500
91,0.0000
92,5.7500
93,13.5000
94,3.5000
95,6.2500
96,12.7500
97,10.0000
98,2.5000
99,8.0000
100,0.0000
101,0.0000
102,2.0000
103,2.2500
104,3.0000
105,0.0000
106,5.2500
107,4.5000
108,2.2500
109,5.2500
110,0.7500
111,7.0000
112,4.0000
113,3.7500
114,2.2500
115,2.7500
116,2.5000
117,0.0000
118,4.7500
119,7.5000
120,5.7500
121,4.5000
122,5.0000
123,8.0000
124,1.5000
125,2.2500
126,5.5000
127,2.0000
128,3.7500
129,2.7500
130,0.0000
131,8.0000
132,4.0000
133,0.0000
134,11.0000
135,2.7500
136,4.5000
137,0.0000
138,2.7500
139,0.0000
140,5.2500
141,1.0000
142,1.2500
143,2.2500
144,2.5000
145,5.2500
146,5.2500
147,6.2500
148,0.0000
149,5.2500
150,0.0000
151,5.2500
152,7.7500
153,3.0000
154,2.7500
155,3.2500
156,1.5000
157,1.0000
158,0.5000
159,6.0000
160,3.5000
161,1.2500
162,4.2500
163,0.5000
164,1.0000
165,1.0000
166,0.0000
167,7.2500
168,10.0000
169,6.2500
170,8.5000
171,0.0000
172,5.0000
173,5.2500
174,0.2500
175,2.0000
176,0.7500
177,2.5000
178,0.5000
179,1.2500
180,5.2500
181,4.2500
182,3.7500
183,2.2500
184,6.7500
185,0.0000
186,4.0000
187,0.0000
188,6.5000
189,1.7500
190,8.0000
191,4.0000
192,3.2500
193,4.2500
194,1.2500
195,0.7500
196,0.5000
197,0.7500
198,1.2500
199,6.5000
200,4.0000
201,4.5000
202,1.2500
203,8.5000
204,10.0000
205,5.0000
206,0.0000
207,4.5000
208,2.5000
209,2.7500
210,0.5000
211,8.7500
212,3.0000
213,3.2500
214,2.0000
215,7.2500
216,1.7500
217,4.2500
218,0.0000
219,5.0000
220,3.5000
221,3.2500
222,2.0000
223,1.2500
224,1.2500
225,11.5000
226,8.5000
227,8.2500
228,5.0000
229,2.7500
230,1.7500
231,3.2500
232,4.2500
233,6.5000
234,7.5000
235,11.2500
236,19.5000
237,10.5000
238,16.5000
239,18.0000
240,17.0000
241,26.0000
242,23.5000
243,25.0000
244,28.5000
245,28.5000
246,31.2500
247,24.0000
248,28.0000
249,30.0000
250,25.5000
251,25.0000
252,23.2500
253,21.7500
254,21.5000
255,19.0000
256,21.0000
257,25.0000
258,20.2500
259,13.2500
260,19.7500
261,19.7500
262,27.5000
263,18.7500
264,25.0000
265,15.0000
266,19.5000
267,13.5000
268,18.2500
269,14.7500
270,14.7500
271,10.7500
272,16.0000
273,18.7500
274,14.5000
275,11.5000
276,14.5000
277,19.0000
278,19.5000
279,16.0000
280,16.2500
281,8.5000
282,13.0000
283,13.5000
284,22.0000
285,19.2500
286,12.0000
287,10.2500
288,20.2500
289,9.2500
290,17.0000
291,14.7500
292,9.0000
293,20.0000
294,24.5000
295,16.5000
296,14.2500
297,16.0000
298,9.2500
299,13.2500
300,19.5000
301,18.2500
302,9.2500
303,9.5000
304,15.2500
305,15.5000
306,14.0000
307,15.7500
308,11.5000
309,13.0000
310,18.2500
311,15.2500
312,18.0000
313,14.2500
314,15.5000
315,19.0000
316,19.7500
317,15.5000
318,17.0000
319,24.0000
320,22.2500
321,23.2500
322,22.7500
323,27.7500
324,20.2500
325,24.0000
326,28.2500
327,24.7500
328,17.2500
329,21.2500
330,21.2500
331,18.2500
332,18.0000
333,12.5000
334,16.2500
335,20.0000
336,21.0000
337,30.5000
338,30.7500
339,22.2500
340,22.0000
341,20.0000
342,16.2500
343,16.2500
344,10.2500
345,19.7500
346,17.7500
347,26.2500
348,20.5000
349,15.7500
350,14.0000
351,18.0000
352,20.2500
353,16.0000
354,13.7500
355,10.5000
356,12.2500
357,13.0000
358,17.0000
359,16.0000
360,11.5000
361,17.5000
362,17.5000
363,14.7500
364,15.5000
365,9.7500
366,10.7500
367,2.7500
368,11.5000
369,11.2500
370,13.2500
371,10.7500
372,8.7500
373,9.5000
374,20.0000
375,16.0000
376,9.2500
377,15.2500
378,9.0000
379,11.5000
380,2.7500
381,6.2500
382,8.2500
383,1.7500
384,5.5000
385,7.2500
386,8.2500
387,8.5000
388,12.7500
389,20.2500
390,6.0000
391,4.7500
392,8.7500
393,11.7500
394,3.7500
395,10.7500
396,9.2500
397,2.5000
398,6.0000
399,4.7500
400,4.2500
401,8.5000
402,2.2500
403,3.5000
404,4.2500
405,8.7500
406,8.2500
407,13.2500
408,7.0000
409,5.5000
410,5.7500
411,12.0000
412,1.5000
413,7.5000
414,9.7500
415,5.7500
416,8.5000
417,16.7500
418,9.2500
419,3.5000
420,14.2500
421,7.0000
422,10.0000
423,11.7500
424,5.5000
425,6.2500
426,9.5000
427,10.0000
428,8.2500
429,1.2500
430,3.0000
431,2.5000
432,8.0000
433,6.5000
434,6.2500
435,4.2500
436,5.2500
437,8.5000
438,3.0000
439,7.2500
440,7.5000
441,3.7500
442,4.5000
443,6.2500
444,6.2500
445,1.2500
446,9.2500
447,9.7500
448,3.0000
449,4.5000
450,6.5000
451,4.7500
452,4.2500
453,2.2500
454,4.5000
455,7.5000
456,3.2500
457,1.2500
458,1.0000
459,1.7500
460,7.0000
461,3.0000
462,2.2500
463,11.7500
464,10.7500
465,16.2500
466,7.7500
467,2.0000
468,3.5000
469,6.5000
470,6.0000
471,3.2500
472,0.0000
473,9.0000
474,4.0000
475,7.5000
476,1.7500
477,0.0000
478,9.2500
479,1.7500
480,7.7500
481,3.2500
482,2.5000
483,5.2500
484,2.5000
485,8.0000
486,5.7500
487,0.0000
488,1.2500
489,3.5000
490,7.0000
491,4.0000
492,2.2500
493,4.5000
494,0.7500
495,2.0000
496,3.2500
497,10.0000
498,5.5000
499,5.7500
500,7.5000
501,7.7500
502,3.2500
503,7.0000
504,10.0000
505,8.0000
506,1.2500
507,3.2500
508,9.0000
509,0.0000
510,1.0000
511,1.7500
512,1.0000
513,1.7500
514,0.5000
515,4.7500
516,3.7500
517,6.0000
518,0.0000
519,5.7500
520,0.7500
521,5.0000
522,7.5000
523,13.0000
524,2.0000
525,5.0000
526,3.2500
527,5.0000
528,10.5000
529,6.5000
530,2.5000
531,2.7500
532,7.2500
533,4.7500
534,5.0000
535,5.2500
536,6.7500
537,0.0000
538,1.5000
539,4.0000
540,1.0000
541,1.5000
542,1.7500
543,1.5000
544,0.5000
545,7.7500
546,3.5000
547,0.0000
548,0.0000
549,7.7500
550,2.5000
551,1.5000
552,1.2500
553,4.7500
554,1.5000
555,6.0000
556,1.2500
557,1.5000
558,3.2500
559,0.7500
560,10.0000
561,0.0000
562,0.0000
563,0.5000
564,0.0000
565,0.2500
566,2.7500
567,5.7500
568,2.0000
569,4.2500
570,11.7500
571,5.5000
572,3.0000
573,3.0000
574,4.7500
575,2.0000
576,6.2500
577,4.0000
578,4.2500
579,3.0000
580,9.5000
581,3.7500
582,4.7500
583,6.7500
584,3.5000
585,3.0000
586,2.0000
587,1.7500
588,2.7500
589,0.2500
590,4.0000
591,3.7500
592,1.2500
593,5.0000
594,3.2500
595,0.0000
596,2.2500
597,3.5000
598,0.0000
599,0.0000
600,3.7500
601,3.5000
602,1.2500
603,4.5000
604,4.5000
605,5.0000
606,1.5000
607,6.0000
608,3.0000
609,4.7500
610,3.2500
611,0.0000
612,1.2500
613,2.0000
614,2.2500
615,4.7500
616,0.5000
617,2.5000
618,2.0000
619,4.5000
620,1.5000
621,1.7500
622,1.2500
623,0.5000
624,9.0000
625,6.5000
626,5.7500
627,5.2500
628,0.0000
629,6.0000
630,1.0000
631,5.0000
632,3.7500
633,8.2500
634,0.2500
635,7.2500
636,0.0000
637,0.0000
638,5.0000
639,2.2500
640,4.5000
641,5.7500
642,0.2500
643,3.0000
644,7.0000
645,6.5000
646,2.0000
647,0.0000
648,0.0000
649,0.0000
650,4.5000
651,4.2500
652,1.5000
653,2.0000
654,7.5000
655,0.7500
656,2.2500
657,7.7500
658,1.2500
659,2.0000
660,1.5000
661,0.5000
662,2.0000
663,0.7500
664,5.2500
665,0.7500
666,3.7500
667,7.0000
668,0.0000
669,0.7500
670,2.2500
671,3.2500
672,6.7500
673,2.5000
674,1.7500
675,0.0000
676,5.2500
677,5.0000
678,7.2500
679,0.2500
680,0.5000
681,6.2500
682,9.5000
683,6.7500
684,1.2500
685,5.0000
686,1.7500
687,2.0000
688,0.7500
689,0.0000
690,1.0000
