Distance_(pixels),Gray_Value
0,0.0000
1,2.0000
2,1.7500
3,1.5000
4,1.2500
5,0.0000
6,0.7500
7,3.2500
8,1.0000
9,0.7500
10,2.7500
11,0.0000
12,0.7500
13,1.2500
14,0.0000
15,0.0000
16,0.5000
17,0.5000
18,4.5000
19,1.7500
20,1.2500
21,0.2500
22,4.2500
23,2.0000
24,0.5000
25,0.0000
26,0.5000
27,3.0000
28,1.7500
29,2.2500
30,0.0000
31,0.5000
32,1.5000
33,2.0000
34,2.2500
35,6.5000
36,0.7500
37,0.0000
38,0.7500
39,1.0000
40,1.2500
41,0.0000
42,1.5000
43,4.2500
44,1.7500
45,0.0000
46,0.0000
47,0.5000
48,1.0000
49,2.7500
50,0.0000
51,1.5000
52,1.2500
53,0.0000
54,3.5000
55,1.5000
56,1.2500
57,0.0000
58,1.7500
59,0.2500
60,2.5000
61,1.0000
62,1.0000
63,1.5000
64,5.2500
65,0.0000
66,0.7500
67,0.0000
68,0.2500
69,0.7500
70,3.0000
71,1.0000
72,2.2500
73,0.0000
74,2.2500
75,2.5000
76,0.0000
77,1.7500
78,0.0000
79,0.7500
80,3.5000
81,3.5000
82,5.0000
83,4.2500
84,0.2500
85,1.5000
86,0.0000
87,2.0000
88,3.7500
89,3.7500
90,2.0000
91,2.2500
92,4.0000
93,1.7500
94,1.2500
95,3.0000
96,0.2500
97,2.0000
98,4.0000
99,4.5000
100,2.0000
101,3.2500
102,0.2500
103,4.0000
104,3.0000
105,2.2500
106,3.2500
107,2.5000
108,0.5000
109,0.0000
110,0.0000
111,0.7500
112,1.2500
113,1.2500
114,0.5000
115,0.0000
116,1.5000
117,3.7500
118,0.0000
119,3.2500
120,2.0000
121,1.2500
122,0.0000
123,2.5000
124,6.0000
125,2.0000
126,4.0000
127,1.5000
128,3.7500
129,0.5000
130,4.0000
131,2.2500
132,4.0000
133,1.5000
134,0.0000
135,4.7500
136,2.0000
137,2.7500
138,1.7500
139,3.0000
140,3.0000
141,0.5000
142,1.2500
143,0.0000
144,1.2500
145,3.0000
146,0.7500
147,0.7500
148,2.5000
149,1.2500
150,0.0000
151,1.0000
152,0.7500
153,0.0000
154,0.7500
155,1.7500
156,1.7500
157,0.5000
158,4.2500
159,2.5000
160,1.7500
161,1.2500
162,0.0000
163,0.0000
164,1.7500
165,0.7500
166,2.0000
167,5.7500
168,2.5000
169,0.2500
170,1.7500
171,2.2500
172,2.2500
173,0.2500
174,1.7500
175,2.7500
176,1.2500
177,2.5000
178,1.0000
179,1.7500
180,0.2500
181,3.0000
182,7.0000
183,4.0000
184,3.5000
185,0.0000
186,0.7500
