Distance_(pixels),Gray_Value
0,0.0000
1,3.0000
2,3.0000
3,0.0000
4,0.0000
5,0.0000
6,1.5000
7,3.5000
8,1.2500
9,0.7500
10,0.7500
11,0.0000
12,3.2500
13,0.0000
14,3.0000
15,2.2500
16,0.5000
17,2.0000
18,2.0000
19,0.7500
20,1.5000
21,1.2500
22,3.2500
23,2.5000
24,3.2500
25,0.0000
26,3.7500
27,2.5000
28,0.7500
29,0.2500
30,0.5000
31,1.2500
32,0.0000
33,0.0000
34,0.0000
35,0.2500
36,0.5000
37,0.5000
38,2.5000
39,0.2500
40,2.7500
41,2.7500
42,0.5000
43,0.7500
44,0.0000
45,0.2500
46,0.2500
47,3.2500
48,3.2500
49,2.0000
50,0.0000
51,0.7500
52,2.7500
53,0.7500
54,6.2500
55,1.5000
56,0.0000
57,0.0000
58,0.7500
59,1.5000
60,1.5000
61,1.0000
62,2.2500
63,2.7500
64,4.5000
65,2.2500
66,0.0000
67,0.0000
68,2.5000
69,4.5000
70,0.7500
71,1.7500
72,2.0000
73,1.5000
74,1.2500
75,3.2500
76,0.7500
77,0.0000
78,0.7500
79,2.0000
80,0.0000
81,1.5000
82,5.2500
83,3.5000
84,0.0000
85,0.0000
86,2.7500
87,2.7500
88,3.5000
89,1.7500
90,3.0000
91,1.5000
92,4.5000
93,2.2500
94,3.0000
95,0.0000
96,9.0000
97,0.5000
98,4.2500
99,0.0000
100,0.0000
101,0.7500
102,3.2500
103,1.5000
104,0.0000
105,1.2500
106,2.2500
107,3.5000
108,0.2500
109,1.2500
110,2.0000
111,1.5000
112,0.2500
113,0.5000
114,0.0000
115,1.0000
116,0.7500
117,2.0000
118,6.0000
119,2.0000
120,2.2500
121,0.0000
122,4.0000
123,2.5000
124,0.0000
125,2.2500
126,1.2500
127,4.2500
128,0.7500
129,2.0000
130,3.7500
131,2.0000
132,1.2500
133,0.7500
134,3.0000
135,1.5000
136,0.0000
137,0.5000
138,3.2500
139,0.7500
140,0.2500
141,0.7500
142,0.0000
143,3.0000
144,0.5000
145,1.0000
146,2.2500
147,1.0000
148,0.0000
149,1.2500
150,0.5000
151,0.7500
152,0.0000
153,2.0000
154,2.0000
155,4.0000
156,2.0000
157,1.7500
158,0.0000
159,1.5000
160,0.2500
161,6.7500
162,2.2500
163,1.0000
164,2.0000
165,1.7500
166,2.2500
167,3.2500
168,0.7500
169,0.0000
