Distance_(pixels),Gray_Value
0,5.0000
1,0.0000
2,2.5000
3,0.7500
4,1.5000
5,2.2500
6,1.0000
7,1.7500
8,0.0000
9,1.5000
10,4.5000
11,0.0000
12,2.0000
13,6.0000
14,0.0000
15,4.0000
16,1.2500
17,0.5000
18,0.5000
19,1.7500
20,2.7500
21,3.2500
22,2.5000
23,2.0000
24,0.2500
25,1.7500
26,1.5000
27,0.5000
28,1.2500
29,1.7500
30,0.7500
31,3.0000
32,1.5000
33,1.0000
34,2.2500
35,2.5000
36,3.5000
37,2.2500
38,3.7500
39,3.2500
40,4.5000
41,1.7500
42,2.2500
43,2.0000
44,1.7500
45,3.2500
46,4.7500
47,6.2500
48,0.5000
49,3.2500
50,1.0000
51,7.7500
52,2.0000
53,0.7500
54,2.5000
55,1.2500
56,1.0000
57,1.7500
58,0.2500
59,0.2500
60,1.2500
61,0.0000
62,2.5000
63,0.2500
64,1.0000
65,2.0000
66,2.7500
67,2.0000
68,0.0000
69,1.2500
70,4.0000
71,0.5000
72,2.5000
73,1.5000
74,3.7500
75,2.2500
76,0.5000
77,0.7500
78,2.7500
79,2.7500
80,1.0000
81,1.2500
82,0.7500
83,0.5000
84,0.2500
85,1.2500
86,0.0000
87,0.7500
88,1.2500
89,2.5000
90,3.7500
91,0.5000
92,3.0000
93,0.7500
94,1.2500
95,2.0000
96,0.7500
97,0.0000
98,1.0000
99,0.7500
100,2.0000
101,3.0000
102,0.2500
103,0.7500
104,5.0000
105,6.5000
106,0.0000
107,0.2500
108,0.5000
109,2.0000
110,0.5000
111,2.5000
112,2.0000
113,0.7500
114,0.0000
115,5.2500
116,2.7500
117,3.2500
118,0.5000
119,0.2500
120,2.5000
121,1.0000
122,1.5000
123,0.2500
124,1.5000
125,0.7500
126,0.7500
127,1.0000
128,0.5000
129,0.5000
130,5.2500
131,1.7500
132,2.2500
133,0.7500
134,1.0000
135,0.5000
136,1.7500
137,2.2500
138,1.5000
139,0.5000
140,3.5000
141,1.0000
142,0.0000
143,4.5000
144,3.2500
145,0.2500
146,2.5000
147,1.5000
148,8.2500
149,2.0000
150,0.0000
151,0.7500
152,1.5000
153,2.2500
154,2.2500
155,0.7500
156,6.2500
157,0.2500
158,3.7500
159,4.2500
160,1.5000
161,0.5000
162,0.2500
163,1.2500
164,0.0000
165,0.0000
166,1.7500
167,0.0000
168,1.7500
169,4.2500
170,1.7500
171,3.5000
172,4.0000
173,1.5000
174,0.0000
175,3.0000
176,0.2500
177,0.7500
178,0.0000
179,1.5000
180,2.2500
181,0.5000
182,2.0000
183,0.2500
184,3.2500
185,4.0000
186,6.2500
187,0.0000
188,2.7500
189,1.2500
190,2.7500
191,3.7500
192,2.2500
193,3.7500
194,2.5000
195,3.7500
196,5.7500
197,1.5000
198,3.0000
199,1.7500
200,1.7500
201,5.7500
202,4.7500
203,0.0000
204,0.5000
205,0.5000
206,1.7500
207,4.2500
208,3.2500
209,7.7500
210,1.2500
211,1.7500
212,2.0000
213,8.2500
214,3.0000
215,2.2500
216,2.0000
217,4.5000
218,5.0000
219,4.2500
220,5.5000
221,5.2500
222,11.2500
223,4.0000
224,10.0000
225,12.0000
226,13.2500
227,14.7500
228,20.7500
229,21.2500
230,23.2500
231,20.5000
232,27.7500
233,36.7500
234,37.0000
235,37.2500
236,39.2500
237,45.7500
238,49.7500
239,49.2500
240,49.2500
241,49.5000
242,58.2500
243,55.0000
244,54.2500
245,55.7500
246,49.7500
247,49.0000
248,45.5000
249,49.0000
250,42.2500
251,40.5000
252,40.0000
253,44.2500
254,42.2500
255,34.7500
256,37.0000
257,33.0000
258,31.7500
259,28.5000
260,30.7500
261,26.5000
262,23.5000
263,29.2500
264,29.2500
265,25.7500
266,27.7500
267,18.5000
268,20.7500
269,25.0000
270,20.2500
271,17.2500
272,19.2500
273,10.7500
274,19.5000
275,17.7500
276,14.5000
277,18.2500
278,9.5000
279,10.5000
280,14.7500
281,13.5000
282,9.5000
283,7.5000
284,12.7500
285,8.5000
286,8.2500
287,10.7500
288,9.0000
289,12.0000
290,15.7500
291,10.7500
292,9.7500
293,8.5000
294,9.0000
295,10.5000
296,7.5000
297,8.2500
298,10.7500
299,5.0000
300,11.5000
301,12.0000
302,17.5000
303,18.7500
304,14.5000
305,8.2500
306,8.5000
307,15.5000
308,17.5000
309,17.2500
310,16.7500
311,25.2500
312,21.0000
313,23.2500
314,18.5000
315,17.7500
316,22.7500
317,25.7500
318,26.7500
319,24.7500
320,26.2500
321,24.5000
322,26.2500
323,24.5000
324,27.2500
325,28.0000
326,30.0000
327,28.0000
328,24.7500
329,25.0000
330,28.5000
331,25.5000
332,27.0000
333,24.0000
334,25.2500
335,25.5000
336,22.2500
337,24.5000
338,21.2500
339,19.5000
340,20.5000
341,22.0000
342,18.5000
343,24.2500
344,17.0000
345,25.0000
346,18.2500
347,12.0000
348,10.5000
349,13.2500
350,13.5000
351,12.0000
352,13.2500
353,18.5000
354,11.7500
355,16.0000
356,13.5000
357,14.5000
358,8.5000
359,11.7500
360,12.5000
361,8.7500
362,8.5000
363,8.2500
364,8.5000
365,12.7500
366,8.5000
367,16.0000
368,9.5000
369,5.7500
370,7.2500
371,4.0000
372,3.5000
373,5.2500
374,1.5000
375,3.0000
376,5.0000
377,2.7500
378,3.2500
379,6.2500
380,7.0000
381,6.5000
382,4.5000
383,3.2500
384,2.2500
385,1.7500
386,5.5000
387,5.5000
388,5.2500
389,4.2500
390,3.0000
391,4.2500
392,3.2500
393,4.7500
394,0.0000
395,4.7500
396,3.7500
397,4.2500
398,2.0000
399,2.7500
400,3.5000
401,2.7500
402,4.5000
403,0.5000
404,4.5000
405,4.7500
406,2.5000
407,5.2500
408,5.7500
409,4.7500
410,7.2500
411,5.0000
412,2.0000
413,6.5000
414,6.7500
415,5.5000
416,1.7500
417,3.0000
418,1.5000
419,2.2500
420,5.2500
421,5.7500
422,3.7500
423,12.0000
424,5.5000
425,4.2500
426,4.7500
427,6.2500
428,6.0000
429,6.7500
430,6.5000
431,2.0000
432,2.5000
433,5.7500
434,6.7500
435,9.7500
436,3.0000
437,1.5000
438,4.2500
439,5.0000
440,1.0000
441,5.0000
442,1.0000
443,2.2500
444,4.2500
445,7.2500
446,5.0000
447,3.7500
448,0.2500
449,6.7500
450,3.2500
451,8.7500
452,1.5000
453,3.5000
454,4.7500
455,3.5000
456,1.0000
457,2.2500
458,5.2500
459,6.5000
460,6.7500
461,7.5000
462,5.0000
463,5.0000
464,0.7500
465,2.7500
466,1.5000
467,1.5000
468,4.2500
469,3.5000
470,2.2500
471,5.7500
472,6.2500
473,6.7500
474,3.0000
475,2.2500
476,4.0000
477,2.2500
478,3.2500
479,2.0000
480,0.0000
481,2.0000
482,1.7500
483,1.7500
484,1.2500
485,0.7500
486,3.2500
487,3.5000
488,2.7500
489,2.7500
490,2.7500
491,1.2500
492,1.2500
493,2.7500
494,4.0000
495,0.0000
496,4.5000
497,1.5000
498,0.5000
499,3.2500
500,1.7500
501,3.7500
502,1.7500
503,1.5000
504,4.0000
505,5.0000
506,2.7500
507,5.2500
508,1.5000
509,1.7500
510,1.2500
511,4.7500
512,3.2500
513,2.2500
514,2.0000
515,2.5000
516,1.0000
517,0.2500
518,1.5000
519,3.2500
520,2.7500
521,2.7500
522,2.5000
523,3.7500
524,2.5000
525,4.2500
526,1.5000
527,1.5000
528,0.7500
529,0.2500
530,3.0000
531,2.0000
532,1.5000
533,0.5000
534,4.5000
535,0.0000
536,2.2500
537,0.5000
538,3.7500
539,1.2500
540,0.2500
541,2.7500
542,4.7500
543,2.2500
544,2.7500
545,1.5000
546,4.0000
547,3.7500
548,3.7500
549,0.2500
550,0.0000
551,3.0000
552,1.2500
553,0.5000
554,3.0000
555,1.5000
556,3.7500
557,3.0000
558,2.2500
559,2.7500
560,0.7500
561,2.0000
562,2.7500
563,1.7500
564,3.2500
565,1.7500
566,3.0000
567,3.2500
568,2.2500
569,4.2500
570,2.2500
571,3.0000
572,1.7500
573,2.7500
574,0.0000
575,0.0000
576,3.7500
577,2.2500
578,0.5000
579,0.7500
580,0.0000
581,2.0000
582,1.7500
583,3.0000
584,1.2500
585,2.7500
586,0.7500
587,0.5000
588,4.0000
589,5.7500
590,1.0000
591,0.0000
592,1.0000
593,2.0000
594,2.0000
595,2.5000
596,1.5000
597,0.0000
598,3.5000
599,0.0000
600,4.5000
601,1.0000
602,0.2500
603,2.7500
604,5.2500
605,3.0000
606,1.0000
607,2.0000
608,0.0000
609,0.5000
610,1.0000
611,0.2500
612,1.2500
613,1.5000
614,3.7500
615,1.0000
616,0.0000
617,2.0000
618,4.0000
619,2.7500
620,0.0000
621,0.0000
622,4.5000
623,3.2500
624,3.5000
625,5.7500
626,3.2500
627,2.0000
628,1.5000
629,0.5000
630,3.7500
631,0.2500
632,1.7500
633,2.2500
634,1.5000
635,1.5000
636,0.5000
637,3.0000
638,3.2500
639,0.2500
640,1.7500
641,2.5000
642,1.2500
643,1.5000
644,0.0000
645,0.0000
646,1.2500
647,4.2500
648,0.0000
649,0.0000
650,1.5000
651,0.5000
652,1.7500
653,2.0000
654,0.0000
655,4.0000
656,0.5000
657,1.5000
658,6.2500
659,3.5000
660,0.2500
661,2.5000
662,4.5000
663,2.2500
664,2.2500
665,0.7500
666,2.7500
667,1.2500
668,2.2500
669,3.7500
670,0.2500
671,1.0000
672,1.7500
673,1.0000
674,4.0000
675,3.7500
676,3.0000
677,3.5000
678,0.5000
679,1.2500
680,1.7500
681,2.0000
682,2.0000
683,1.5000
684,5.2500
685,3.0000
686,0.7500
687,1.2500
688,0.7500
689,2.5000
690,0.0000
691,1.2500
692,0.0000
693,0.0000
694,2.7500
695,3.5000
