Distance_(pixels),Gray_Value
0,2.000
1,2.750
2,0.500
3,1.000
4,1.500
5,2.000
6,0.500
7,0.250
8,0.000
9,0.000
10,3.250
11,9.000
12,7.000
13,5.250
14,5.000
15,6.750
16,1.500
17,0.750
18,2.500
19,8.000
20,4.500
21,1.000
22,2.750
23,0.500
24,1.250
25,0.000
26,11.750
27,1.750
28,4.000
29,2.500
30,0.500
31,2.250
32,5.750
33,8.250
34,0.250
35,5.750
36,0.000
37,1.500
38,2.750
39,1.250
40,2.000
41,1.250
42,1.500
43,0.000
44,5.250
45,1.000
46,3.750
47,5.750
48,1.000
49,0.000
50,2.500
51,4.000
52,2.750
53,3.500
54,4.250
55,4.500
56,4.000
57,8.750
58,1.250
59,2.750
60,7.250
61,3.250
62,2.750
63,0.000
64,1.750
65,2.000
66,0.500
67,2.000
68,8.500
69,6.500
70,2.250
71,2.000
72,1.750
73,0.000
74,1.000
75,6.000
76,0.000
77,2.500
78,0.000
79,5.250
80,0.000
81,3.000
82,1.000
83,0.000
84,1.000
85,7.500
86,0.000
87,2.000
88,1.750
89,1.750
90,1.750
91,0.000
92,2.750
93,1.250
94,0.750
95,2.000
96,5.250
97,2.250
98,0.000
99,7.500
100,4.000
101,1.500
102,0.250
103,0.750
104,0.250
105,0.250
106,7.000
107,2.250
108,0.500
109,1.000
110,2.500
111,3.750
112,1.500
113,1.000
114,2.500
115,7.000
116,3.500
117,4.500
118,1.750
119,7.250
120,0.750
121,3.750
122,0.250
123,0.500
124,0.000
125,0.500
126,8.750
127,1.000
128,4.000
129,0.750
130,1.000
131,1.750
132,2.000
133,0.000
134,0.500
135,2.250
136,2.250
137,8.250
138,1.000
139,0.000
140,5.750
141,2.750
142,3.250
143,3.250
144,4.250
145,2.000
146,2.000
147,6.000
148,4.750
149,3.500
150,2.000
151,0.000
152,2.250
153,2.500
154,2.000
155,6.000
156,4.250
157,1.250
158,12.250
159,7.250
160,0.000
161,3.500
162,0.500
163,1.000
164,5.250
165,2.250
166,0.000
167,2.000
168,3.000
169,2.250
170,2.250
171,5.000
172,6.000
173,3.750
174,7.750
175,4.250
176,4.000
177,2.250
178,0.000
179,0.000
180,2.750
181,4.500
182,0.750
183,1.750
184,7.000
185,4.750
186,2.750
187,0.250
188,1.500
189,1.750
190,5.000
191,4.250
192,0.500
193,0.250
194,2.500
195,4.250
196,1.250
197,2.750
198,5.500
199,3.250
200,1.250
201,0.250
202,2.000
203,2.000
204,3.750
205,3.500
206,0.000
207,0.000
208,3.250
209,4.500
210,4.000
211,2.500
212,8.750
213,4.750
214,3.000
215,0.750
216,2.750
217,2.000
218,4.250
219,3.250
220,3.750
221,12.250
222,10.250
223,13.500
224,25.000
225,21.250
226,33.750
227,31.750
228,40.750
229,43.750
230,48.750
231,54.000
232,56.000
233,70.250
234,71.250
235,80.500
236,85.250
237,91.500
238,100.000
239,114.500
240,105.000
241,118.500
242,126.750
243,123.000
244,132.500
245,127.500
