Distance_(pixels),Gray_Value
0,3.5000
1,1.5000
2,2.2500
3,3.7500
4,3.7500
5,0.2500
6,5.0000
7,4.0000
8,0.2500
9,1.7500
10,2.0000
11,4.2500
12,0.5000
13,2.7500
14,0.7500
15,0.5000
16,0.5000
17,2.7500
18,3.0000
19,0.2500
20,5.0000
21,1.7500
22,1.0000
23,2.7500
24,4.0000
25,2.2500
26,1.2500
27,1.2500
28,2.0000
29,2.2500
30,2.5000
31,1.2500
32,0.0000
33,1.7500
34,1.0000
35,0.2500
36,1.0000
37,0.5000
38,2.2500
39,3.7500
40,0.2500
41,5.2500
42,1.0000
43,0.0000
44,1.5000
45,2.5000
46,1.7500
47,0.5000
48,0.7500
49,1.5000
50,1.0000
51,4.0000
52,2.5000
53,0.0000
54,4.5000
55,4.0000
56,5.7500
57,1.0000
58,0.0000
59,2.0000
60,1.7500
61,3.0000
62,3.2500
63,9.5000
64,2.2500
65,1.5000
66,0.0000
67,0.2500
68,5.0000
69,1.5000
70,1.0000
71,1.0000
72,5.0000
73,0.0000
74,3.7500
75,1.7500
76,4.5000
77,2.7500
78,2.2500
79,2.2500
80,1.5000
81,0.0000
82,0.0000
83,0.5000
84,3.0000
85,0.7500
86,2.7500
87,5.0000
88,5.0000
89,5.0000
90,3.7500
91,2.5000
92,1.2500
93,0.0000
94,2.0000
95,3.5000
96,4.5000
97,2.2500
98,1.5000
99,2.0000
100,2.0000
101,1.0000
102,4.5000
103,2.5000
104,2.2500
105,0.0000
106,0.5000
107,4.5000
108,1.2500
109,2.0000
110,6.2500
111,1.0000
112,2.7500
113,2.5000
114,1.0000
115,0.0000
116,0.7500
117,4.2500
118,1.2500
119,0.7500
120,0.0000
121,2.5000
122,1.2500
123,2.7500
124,0.0000
125,2.5000
126,2.0000
127,0.0000
128,3.7500
129,0.2500
130,2.2500
131,3.7500
132,7.7500
133,2.5000
134,0.0000
135,2.5000
136,1.0000
137,1.2500
138,3.0000
139,0.0000
140,3.2500
141,2.7500
142,2.2500
143,1.5000
144,0.7500
145,0.2500
146,4.5000
147,0.2500
148,1.5000
149,1.0000
150,0.0000
151,5.5000
152,2.7500
153,0.5000
154,1.5000
155,3.5000
156,1.7500
157,2.2500
158,3.2500
159,3.5000
160,3.0000
161,1.0000
162,0.0000
163,3.2500
164,2.2500
165,1.0000
166,3.2500
167,2.7500
168,2.5000
169,4.0000
170,1.7500
171,1.0000
172,2.7500
173,0.0000
174,1.2500
175,2.5000
176,0.0000
177,1.2500
178,0.0000
179,5.5000
180,2.0000
181,1.5000
182,0.0000
183,4.0000
184,2.2500
185,9.0000
186,1.7500
187,3.5000
188,8.0000
189,3.5000
190,3.0000
191,0.0000
192,0.2500
193,0.0000
194,0.7500
195,5.0000
196,4.5000
197,1.0000
198,0.5000
199,4.5000
200,2.2500
201,1.0000
202,0.0000
203,1.2500
204,1.0000
205,0.2500
206,1.7500
207,0.2500
208,2.2500
209,0.0000
210,1.5000
211,3.5000
212,5.2500
213,0.0000
214,3.5000
215,0.5000
216,3.2500
217,4.0000
218,1.5000
219,1.0000
220,3.5000
221,3.5000
222,3.0000
223,10.0000
224,8.0000
225,12.2500
226,10.2500
227,12.0000
228,17.7500
229,25.5000
230,24.0000
231,34.7500
232,44.5000
233,43.0000
234,49.5000
235,48.2500
236,51.5000
237,54.7500
238,57.5000
239,51.5000
240,44.7500
241,53.0000
242,57.2500
243,56.2500
244,50.5000
245,61.2500
246,55.0000
247,56.0000
248,57.0000
249,52.7500
250,52.2500
251,50.0000
252,48.0000
253,47.7500
254,45.5000
255,46.5000
256,45.0000
257,43.5000
258,35.2500
259,39.2500
260,38.2500
261,36.0000
262,37.7500
263,30.2500
264,35.7500
265,29.5000
266,32.7500
267,27.7500
268,27.5000
269,29.2500
270,29.5000
271,26.7500
272,18.7500
273,26.0000
274,24.5000
275,18.2500
276,20.2500
277,19.5000
278,18.7500
279,24.5000
280,17.2500
281,16.2500
282,17.0000
283,14.2500
284,14.0000
285,22.0000
286,11.2500
287,11.7500
288,16.5000
289,18.0000
290,16.5000
291,12.0000
292,20.5000
293,14.0000
294,18.2500
295,15.2500
296,12.5000
297,19.5000
298,16.2500
299,19.0000
300,21.5000
301,20.0000
302,20.5000
303,24.2500
304,18.2500
305,24.2500
306,21.5000
307,24.5000
308,29.5000
309,27.5000
310,27.0000
311,35.2500
312,34.0000
313,30.5000
314,25.2500
315,32.2500
316,33.0000
317,26.5000
318,29.7500
319,31.7500
320,30.5000
321,29.2500
322,36.5000
323,31.2500
324,30.5000
325,31.7500
326,32.0000
327,36.7500
328,36.0000
329,28.7500
330,27.5000
331,27.5000
332,27.5000
333,27.5000
334,25.7500
335,26.7500
336,22.5000
337,26.7500
338,22.7500
339,25.5000
340,22.5000
341,22.0000
342,28.5000
343,23.2500
344,20.2500
345,23.7500
346,17.0000
347,22.0000
348,16.0000
349,21.5000
350,19.7500
351,18.5000
352,17.2500
353,14.2500
354,20.7500
355,19.7500
356,8.5000
357,12.5000
358,15.7500
359,11.0000
360,16.7500
361,6.0000
362,9.7500
363,9.7500
364,12.0000
365,11.0000
366,15.7500
367,9.5000
368,13.2500
369,7.2500
370,7.7500
371,9.7500
372,4.5000
373,9.0000
374,12.5000
375,7.7500
376,7.5000
377,7.0000
378,9.7500
379,7.0000
380,3.2500
381,6.2500
382,8.2500
383,6.7500
384,7.0000
385,4.2500
386,9.5000
387,8.2500
388,5.7500
389,5.2500
390,7.0000
391,9.0000
392,12.2500
393,6.5000
394,6.5000
395,1.7500
396,5.2500
397,7.5000
398,6.5000
399,8.2500
400,7.0000
401,2.2500
402,4.5000
403,9.5000
404,7.2500
405,6.7500
406,8.0000
407,5.7500
408,6.2500
409,2.7500
410,1.7500
411,6.0000
412,1.0000
413,5.5000
414,4.2500
415,4.0000
416,6.0000
417,3.5000
418,2.2500
419,8.0000
420,3.2500
421,3.2500
422,4.0000
423,8.7500
424,6.5000
425,0.0000
426,10.5000
427,3.5000
428,4.7500
429,7.0000
430,7.5000
431,4.0000
432,4.0000
433,6.7500
434,6.5000
435,5.0000
436,7.0000
437,5.0000
438,2.7500
439,4.2500
440,6.0000
441,5.5000
442,8.2500
443,2.7500
444,8.0000
445,9.7500
446,7.0000
447,2.7500
448,4.7500
449,6.2500
450,4.5000
451,2.2500
452,7.7500
453,1.2500
454,5.2500
455,1.5000
456,3.0000
457,1.5000
458,8.5000
459,5.0000
460,4.0000
461,1.7500
462,0.0000
463,0.0000
464,1.5000
465,3.2500
466,4.2500
467,4.0000
468,2.5000
469,2.2500
470,3.5000
471,2.2500
472,2.5000
473,1.2500
474,1.0000
475,8.5000
476,0.7500
477,2.7500
478,1.7500
479,0.2500
480,3.5000
481,1.2500
482,3.5000
483,3.7500
484,0.5000
485,5.2500
486,7.5000
487,2.7500
488,1.0000
489,1.7500
490,0.0000
491,4.0000
492,0.7500
493,1.2500
494,3.2500
495,0.0000
496,2.5000
497,0.2500
498,11.7500
499,4.2500
500,3.2500
501,1.2500
502,8.7500
503,5.2500
504,2.2500
505,0.0000
506,0.0000
507,0.2500
508,2.7500
509,2.5000
510,0.7500
511,0.5000
512,3.5000
513,0.2500
514,4.7500
515,1.7500
516,1.5000
517,4.5000
518,2.2500
519,2.2500
520,0.5000
521,2.5000
522,0.5000
523,1.2500
524,6.2500
525,1.0000
526,0.7500
527,5.2500
528,6.7500
529,6.7500
530,5.7500
531,1.2500
532,0.0000
533,1.0000
534,1.5000
535,0.5000
536,1.5000
537,1.0000
538,8.5000
539,3.2500
540,2.0000
541,3.7500
542,1.2500
543,1.7500
544,1.7500
545,0.0000
546,3.5000
547,2.5000
548,3.0000
549,3.7500
550,1.5000
551,1.2500
552,0.5000
553,1.5000
554,0.5000
555,0.0000
556,3.2500
557,1.5000
558,4.2500
559,1.0000
560,0.0000
561,2.0000
562,5.5000
563,1.2500
564,2.0000
565,0.0000
566,3.2500
567,5.2500
568,0.2500
569,2.5000
570,0.7500
571,4.7500
572,2.2500
573,1.0000
574,0.2500
575,5.0000
576,1.5000
577,3.0000
578,2.2500
579,0.0000
580,0.7500
581,1.5000
582,3.7500
583,1.7500
584,1.7500
585,0.7500
586,4.7500
587,3.2500
588,2.2500
589,0.2500
590,1.7500
591,7.5000
592,3.2500
593,4.7500
594,2.0000
595,2.0000
596,2.0000
597,0.0000
598,3.7500
599,6.2500
600,0.2500
601,4.0000
602,0.0000
603,3.5000
604,0.2500
605,2.0000
606,5.0000
607,4.2500
608,5.2500
609,4.0000
610,2.2500
611,1.2500
612,0.2500
613,1.0000
614,4.2500
615,0.7500
