Distance_(pixels),Gray_Value
0,822.720
1,830.080
2,811.840
3,813.920
4,815.520
5,824.960
6,820.000
7,814.560
8,829.920
9,827.360
10,833.280
11,840.640
12,836.640
13,843.040
14,854.720
15,868.480
16,892.320
17,950.560
18,1053.600
19,1400.800
20,2359.680
21,3267.200
22,2881.920
23,1808.640
24,1256.160
25,1100.480
26,1011.680
27,948.800
28,920.160
29,886.400
30,872.160
31,862.560
32,846.720
33,844.960
34,845.120
35,822.240
36,828.960
37,825.120
38,828.960
39,820.480
40,820.960
41,814.240
42,821.760
43,819.680
44,823.840
45,824.000
46,823.840
