spectrometer_dunkelfeld_100nm_einzel_at_650.00nm_cut_at_1436.50Y_01.dat
02.05.2022
13:22:18
cut middle at Y: 1436.50
top cursor: 1494 down cursor: 1379 mean of: 115 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
485.997	657.017
486.125	607.904
486.253	599.026
486.381	612.496
486.510	615.183
486.638	619.748
486.766	618.504
486.894	611.252
487.022	619.809
487.150	631.948
487.278	627.243
487.406	634.304
487.535	632.409
487.663	631.452
487.791	635.826
487.919	641.243
488.047	644.609
488.175	644.739
488.303	649.730
488.431	650.852
488.560	665.078
488.688	669.783
488.816	672.009
488.944	672.504
489.072	678.965
489.200	680.035
489.328	681.652
489.456	684.383
489.585	686.713
489.713	677.748
489.841	690.591
489.969	682.270
490.097	699.235
490.225	697.052
490.353	701.043
490.481	708.939
490.610	714.852
490.738	713.148
490.866	716.870
490.994	721.417
491.122	722.609
491.250	735.739
491.378	735.835
491.506	735.591
491.635	735.835
491.763	737.139
491.891	745.130
492.019	762.130
492.147	748.035
492.275	751.322
492.403	757.000
492.531	769.122
492.660	761.687
492.788	773.270
492.916	770.374
493.044	771.530
493.172	777.513
493.300	777.922
493.428	788.965
493.556	787.809
493.685	793.052
493.813	795.539
493.941	802.296
494.069	807.704
494.197	812.070
494.325	819.635
494.453	832.322
494.581	822.513
494.710	825.313
494.838	831.296
494.966	843.983
495.094	830.148
495.222	845.435
495.350	841.939
495.478	855.783
495.606	862.583
495.735	859.574
495.863	855.330
495.991	855.113
496.119	866.270
496.247	871.400
496.375	864.148
496.503	882.817
496.631	901.791
496.760	872.913
496.888	883.548
497.016	894.730
497.144	894.913
497.272	887.670
497.400	896.157
497.528	895.791
497.656	895.191
497.785	894.374
497.913	907.296
498.041	902.948
498.169	915.078
498.297	901.270
498.425	898.504
498.553	920.722
498.681	918.174
498.810	931.487
498.938	918.983
499.066	935.400
499.194	931.270
499.322	935.878
499.450	939.817
499.578	936.800
499.706	942.948
499.835	956.461
499.963	956.870
500.091	955.522
500.219	969.191
500.347	968.809
500.475	976.591
500.603	975.887
500.731	990.591
500.860	998.565
500.988	988.443
501.116	988.800
501.244	1019.391
501.372	1010.174
501.500	1011.183
501.628	1016.391
501.756	1017.913
501.885	1023.896
502.013	1035.313
502.141	1035.148
502.269	1041.652
502.397	1043.278
502.525	1039.904
502.653	1050.113
502.781	1055.330
502.910	1058.626
503.038	1065.913
503.166	1058.139
503.294	1070.148
503.422	1070.304
503.550	1079.165
503.678	1082.609
503.806	1079.539
503.935	1089.278
504.063	1099.687
504.191	1089.252
504.319	1104.026
504.447	1092.270
504.575	1090.217
504.703	1098.548
504.831	1109.983
504.960	1103.443
505.088	1109.661
505.216	1115.313
505.344	1116.843
505.472	1107.409
505.600	1125.609
505.728	1129.417
505.856	1137.270
505.985	1137.104
506.113	1154.748
506.241	1159.130
506.369	1166.130
506.497	1144.574
506.625	1168.504
506.753	1168.487
506.881	1174.974
507.010	1190.061
507.138	1196.722
507.266	1197.435
507.394	1206.922
507.522	1219.130
507.650	1224.678
507.778	1221.826
507.906	1238.852
508.035	1235.339
508.163	1250.643
508.291	1251.504
508.419	1266.209
508.547	1259.104
508.675	1282.713
508.803	1281.017
508.931	1284.565
509.060	1289.991
509.188	1298.357
