spectrometer_wei?lichtspektrum_at_650.00nm_cut_at_1436.50Y_01.dat
02.05.2022
13:46:56
cut middle at Y: 1436.50
top cursor: 1494 down cursor: 1379 mean of: 115 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
485.997	4716.722
486.125	4369.609
486.253	4293.757
486.381	4302.791
486.510	4351.574
486.638	4431.826
486.766	4380.348
486.894	4412.113
487.022	4477.078
487.150	4461.243
487.278	4509.530
487.406	4543.643
487.535	4579.887
487.663	4652.287
487.791	4628.391
487.919	4668.330
488.047	4673.617
488.175	4742.983
488.303	4776.583
488.431	4774.243
488.560	4847.026
488.688	4863.391
488.816	4864.130
488.944	4957.557
489.072	4942.348
489.200	4997.478
489.328	5033.600
489.456	5109.617
489.585	5109.496
489.713	5135.287
489.841	5125.565
489.969	5182.478
490.097	5230.965
490.225	5233.461
490.353	5286.183
490.481	5269.661
490.610	5316.635
490.738	5355.887
490.866	5495.148
490.994	5403.339
491.122	5518.617
491.250	5501.948
491.378	5481.296
491.506	5635.035
491.635	5573.339
491.763	5608.487
491.891	5620.409
492.019	5758.365
492.147	5698.652
492.275	5697.739
492.403	5695.896
492.531	5930.348
492.660	5846.357
492.788	5861.104
492.916	5918.409
493.044	5886.783
493.172	5953.217
493.300	5988.348
493.428	5981.400
493.556	6073.435
493.685	6090.278
493.813	6119.774
493.941	6152.348
494.069	6201.583
494.197	6212.626
494.325	6261.383
494.453	6466.113
494.581	6342.809
494.710	6387.635
494.838	6413.704
494.966	6502.165
495.094	6438.017
495.222	6548.496
495.350	6526.643
495.478	6555.287
495.606	6589.009
495.735	6618.304
495.863	6639.383
495.991	6667.835
496.119	6721.817
496.247	6769.296
496.375	6701.530
496.503	6757.243
496.631	6761.374
496.760	6758.687
496.888	6823.713
497.016	6829.148
497.144	6840.383
497.272	6858.730
497.400	6901.374
497.528	6878.783
497.656	6896.043
497.785	6904.800
497.913	6922.148
498.041	6945.783
498.169	6934.174
498.297	6951.226
498.425	7136.713
498.553	6993.565
498.681	7030.878
498.810	7114.661
498.938	7054.817
499.066	7069.183
499.194	7179.609
499.322	7196.774
499.450	7157.365
499.578	7200.026
499.706	7256.817
499.835	7282.722
499.963	7281.330
500.091	7349.122
500.219	7380.835
500.347	7407.287
500.475	7412.548
500.603	7440.104
500.731	7481.904
500.860	7504.557
500.988	7582.235
501.116	7549.939
501.244	7648.122
501.372	7696.730
501.500	7704.183
501.628	7743.896
501.756	7749.157
501.885	7810.296
502.013	7714.600
502.141	7841.070
502.269	7800.078
502.397	7965.200
502.525	7857.904
502.653	7955.113
502.781	7913.739
502.910	7922.904
503.038	7976.704
503.166	7992.843
503.294	7981.330
503.422	8008.104
503.550	8023.583
503.678	8014.461
503.806	8048.713
503.935	8063.696
504.063	8083.774
504.191	8127.191
504.319	8150.200
504.447	8108.913
504.575	8152.000
504.703	8234.243
504.831	8132.139
504.960	8122.365
505.088	8173.235
505.216	8270.783
505.344	8325.261
505.472	8263.565
505.600	8239.209
505.728	8328.043
505.856	8320.835
505.985	8376.696
506.113	8415.626
506.241	8431.304
506.369	8456.896
506.497	8451.791
506.625	8583.522
506.753	8533.200
506.881	8628.243
507.010	8615.209
507.138	8633.383
507.266	8766.061
507.394	8708.304
507.522	8819.043
507.650	8777.261
507.778	8827.209
507.906	8881.009
508.035	8892.209
508.163	8949.148
508.291	8971.157
508.419	9112.591
508.547	9099.330
508.675	9169.096
508.803	9112.252
508.931	9202.200
509.060	9188.417
509.188	9192.513
509.316	9214.339
509.444	9238.948
509.572	9400.270
509.700	9348.504
509.828	9408.461
509.956	9403.791
510.085	9415.435
510.213	9432.904
510.341	9439.409
510.469	9474.704
510.597	9486.852
510.725	9485.087
510.853	9550.583
510.981	9567.591
511.110	9490.000
511.238	9555.574
511.366	9576.226
511.494	9581.904
511.622	9582.139
511.750	9619.591
511.878	9680.843
512.006	9611.452
512.135	9679.661
512.263	9670.096
512.391	9718.157
512.519	9743.122
512.647	9708.809
512.775	9754.426
512.903	9766.357
513.031	9732.643
513.160	9737.443
513.288	9846.130
513.416	9735.591
513.544	9781.383
513.672	9761.774
513.800	9798.504
513.928	9814.704
514.056	9826.765
514.185	9817.843
514.313	9795.348
514.441	9928.217
514.569	9837.504
514.697	9862.304
514.825	9812.000
514.953	9797.574
515.081	9827.670
515.210	9866.704
515.338	9949.722
515.466	9861.661
515.594	9891.200
515.722	9856.843
515.850	9893.704
515.978	9878.757
516.106	9875.400
516.235	9881.209
516.363	9908.487
516.491	9905.957
516.619	9929.696
516.747	10028.417
516.875	10009.417
517.003	10020.635
517.131	10038.530
517.260	9999.104
517.388	10051.261
517.516	10103.174
517.644	10086.626
517.772	10216.861
517.900	10186.957
518.028	10237.009
518.156	10280.374
518.284	10269.765
518.413	10333.974
518.541	10416.122
518.669	10382.496
518.797	10422.826
518.925	10434.322
519.053	10508.452
519.181	10486.200
519.309	10511.557
519.438	10568.704
519.566	10622.678
519.694	10601.765
519.822	10712.104
519.950	10636.217
520.078	10699.896
520.206	10733.217
520.334	10764.374
520.463	10765.757
520.591	10762.983
520.719	10796.870
520.847	10845.696
520.975	10816.870
521.103	10891.304
521.231	10861.391
521.359	11011.226
521.488	10910.678
521.616	10947.452
521.744	10867.270
521.872	10958.722
522.000	10865.470
522.128	10894.357
522.256	10915.017
522.384	10918.043
522.513	10911.417
522.641	10909.235
522.769	10972.461
522.897	11007.835
523.025	10987.313
523.153	10970.878
523.281	11040.096
523.409	10962.235
523.538	11016.722
523.666	10962.174
523.794	11048.783
523.922	11059.843
524.050	11011.765
524.178	11067.122
524.306	11088.417
524.434	11146.226
524.563	11151.174
524.691	11293.617
524.819	11139.504
524.947	11190.661
525.075	11161.800
525.203	11218.652
525.331	11268.800
525.459	11396.557
525.588	11309.043
525.716	11428.922
525.844	11419.017
525.972	11463.252
526.100	11473.739
526.228	11534.070
526.356	11505.939
526.484	11617.504
526.613	11564.635
526.741	11686.235
526.869	11692.704
526.997	11784.052
527.125	11767.896
527.253	11784.817
527.381	11863.539
527.509	11817.600
527.638	11923.783
527.766	12024.983
527.894	12011.409
528.022	12079.400
528.150	12026.748
528.278	12122.548
528.406	12119.452
528.534	12119.939
528.663	12161.939
528.791	12279.183
528.919	12229.009
529.047	12358.530
529.175	12222.374
529.303	12302.670
529.431	12273.252
529.559	12339.774
529.688	12320.939
529.816	12330.939
529.944	12420.304
530.072	12323.096
530.200	12352.609
530.328	12402.617
530.456	12387.130
530.584	12391.078
530.713	12433.061
530.841	12442.226
530.969	12461.548
531.097	12432.513
531.225	12447.443
531.353	12545.748
531.481	12456.835
531.609	12645.530
531.738	12459.339
531.866	12602.070
531.994	12569.096
532.122	12682.730
532.250	12541.087
532.378	12522.713
532.506	12544.043
532.634	12562.374
532.763	12528.096
532.891	12592.043
533.019	12575.017
533.147	12597.957
533.275	12544.496
533.403	12655.070
533.531	12659.104
533.659	12625.939
533.788	12649.052
533.916	12629.243
534.044	12739.878
534.172	12753.191
534.300	12758.035
534.428	12768.974
534.556	12975.035
534.684	12813.417
534.813	12786.783
534.941	12827.896
535.069	12859.443
535.197	12838.287
535.325	12871.261
535.453	12880.991
535.581	12986.930
535.709	12913.626
535.838	12948.052
535.966	12953.626
536.094	12998.835
536.222	13008.261
536.350	12969.600
536.478	12991.139
536.606	13049.739
536.734	13000.409
536.863	12996.400
536.991	13115.861
537.119	13101.035
537.247	13066.530
537.375	13232.609
537.503	13101.843
537.631	13082.417
537.759	13143.461
537.888	13093.391
538.016	13322.078
538.144	13189.330
538.272	13192.470
538.400	13253.304
538.528	13176.052
538.656	13222.522
538.784	13268.539
538.913	13353.139
539.041	13341.330
539.169	13316.357
539.297	13325.452
539.425	13432.974
539.553	13384.504
539.681	13494.209
539.809	13475.174
539.938	13445.078
540.066	13438.730
540.194	13518.617
540.322	13636.365
540.450	13604.270
540.578	13592.122
540.706	13593.783
540.834	13667.139
540.963	13717.930
541.091	13617.035
541.219	13603.435
541.347	13770.009
541.475	13704.026
541.603	13724.209
541.731	13679.913
541.859	13707.757
541.988	13736.287
542.116	13897.774
542.244	13762.765
542.372	13914.470
542.500	13733.609
542.628	13813.522
542.756	13740.078
542.884	13753.461
543.013	13761.452
543.141	13772.574
543.269	13768.026
543.397	13713.165
543.525	13721.730
543.653	13780.670
543.781	13680.583
543.909	13619.313
544.038	13728.243
544.166	13717.983
544.294	13813.852
544.422	13600.148
544.550	13675.478
544.678	13667.904
544.806	13609.557
544.934	13569.209
545.063	13656.391
545.191	13732.174
545.319	13593.096
545.447	13529.478
545.575	13531.461
545.703	13592.539
545.831	13571.017
545.959	13556.922
546.088	13575.504
546.216	13505.443
546.344	13560.504
546.472	13732.913
546.600	13601.365
546.728	13574.087
546.856	13597.070
546.984	13605.687
547.113	13697.678
547.241	13644.070
547.369	13742.478
547.497	13743.035
547.625	13742.696
547.753	13763.122
547.881	13757.461
548.009	13782.070
548.138	13857.148
548.266	13834.530
548.394	13933.183
548.522	13875.861
548.650	14085.974
548.778	14007.417
548.906	14012.913
549.034	14106.583
549.163	14018.000
549.291	14033.522
549.419	14081.113
549.547	14277.165
549.675	14154.243
549.803	14135.017
549.931	14149.539
550.059	14163.800
550.188	14248.557
550.316	14268.870
550.444	14299.357
550.572	14315.087
550.700	14322.948
550.828	14375.678
550.956	14319.261
551.084	14449.765
551.213	14390.426
551.341	14473.139
551.469	14462.730
551.597	14539.417
551.725	14556.043
551.853	14514.530
551.981	14543.435
552.109	14573.330
552.238	14616.443
552.366	14556.330
552.494	14597.365
552.622	14587.930
552.750	14647.974
552.878	14601.817
553.006	14686.096
553.134	14656.217
553.263	14590.287
553.391	14607.383
553.519	14785.530
553.647	14617.583
553.775	14628.313
553.903	14720.739
554.031	14653.800
554.159	14608.165
554.288	14673.157
554.416	14628.757
554.544	14654.713
554.672	14621.113
554.800	14579.296
554.928	14585.209
555.056	14559.139
555.184	14560.348
555.313	14558.017
555.441	14531.748
555.569	14541.930
555.697	14593.391
555.825	14523.878
555.953	14528.904
556.081	14492.713
556.209	14482.948
556.338	14533.513
556.466	14652.452
556.594	14498.852
556.722	14547.522
556.850	14547.896
556.978	14407.409
557.106	14462.852
557.234	14478.417
557.363	14509.957
557.491	14459.635
557.619	14492.870
557.747	14497.957
557.875	14462.861
558.003	14451.922
558.131	14455.574
558.259	14507.087
558.388	14413.357
558.516	14453.278
558.644	14441.087
558.772	14540.087
558.900	14424.435
559.028	14460.730
559.156	14464.348
