spectrometer_90_40nm_hybrid_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:50:02
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
485.997	5953.098
486.125	5438.765
486.253	5298.961
486.381	5278.216
486.510	5345.706
486.638	5412.765
486.766	5432.000
486.894	5439.353
487.022	5475.941
487.150	5468.588
487.278	5510.294
487.406	5511.431
487.535	5530.490
487.663	5580.863
487.791	5533.902
487.919	5581.843
488.047	5592.392
488.175	5630.451
488.303	5670.941
488.431	5667.275
488.560	5742.549
488.688	5736.627
488.816	5711.961
488.944	5783.235
489.072	5763.412
489.200	5831.000
489.328	5834.529
489.456	5871.667
489.585	5889.255
489.713	5871.706
489.841	5848.824
489.969	5840.627
490.097	5886.078
490.225	5884.549
490.353	5969.588
490.481	5881.882
490.610	5906.196
490.738	5885.059
490.866	5963.627
490.994	5909.863
491.122	5968.745
491.250	5946.118
491.378	5949.824
491.506	6021.137
491.635	5958.137
491.763	5978.510
491.891	5976.843
492.019	6000.373
492.147	5965.039
492.275	5961.843
492.403	5964.196
492.531	6129.608
492.660	6067.784
492.788	6061.000
492.916	6126.549
493.044	6001.275
493.172	6114.647
493.300	6060.235
493.428	6089.961
493.556	6122.216
493.685	6156.725
493.813	6158.392
493.941	6170.804
494.069	6227.314
494.197	6278.294
494.325	6282.725
494.453	6426.000
494.581	6334.608
494.710	6361.235
494.838	6403.745
494.966	6484.039
495.094	6427.784
495.222	6532.608
495.350	6508.569
495.478	6533.510
495.606	6584.118
495.735	6585.706
495.863	6625.922
495.991	6626.706
496.119	6662.706
496.247	6704.137
496.375	6685.569
496.503	6692.137
496.631	6672.471
496.760	6683.451
496.888	6706.627
497.016	6697.804
497.144	6727.353
497.272	6720.275
497.400	6738.039
497.528	6706.627
497.656	6714.529
497.785	6688.980
497.913	6708.314
498.041	6700.196
498.169	6698.902
498.297	6685.725
498.425	6816.333
498.553	6705.667
498.681	6712.647
498.810	6754.784
498.938	6696.412
499.066	6724.961
499.194	6752.569
499.322	6789.980
499.450	6709.098
499.578	6725.353
499.706	6763.078
499.835	6771.667
499.963	6753.902
500.091	6824.765
500.219	6812.392
500.347	6831.216
500.475	6808.686
500.603	6821.451
500.731	6897.902
500.860	6870.373
500.988	6928.902
501.116	6875.647
501.244	6904.824
501.372	7018.980
501.500	6981.392
501.628	7063.471
501.756	7039.588
501.885	7130.784
502.013	7027.353
502.141	7102.314
502.269	7117.549
502.397	7238.765
502.525	7161.157
502.653	7259.529
502.781	7239.490
502.910	7272.000
503.038	7318.196
503.166	7270.000
503.294	7296.078
503.422	7317.490
503.550	7302.235
503.678	7341.569
503.806	7330.314
503.935	7333.471
504.063	7350.569
504.191	7333.667
504.319	7363.588
504.447	7299.275
504.575	7369.882
504.703	7388.824
504.831	7322.392
504.960	7342.824
505.088	7385.980
505.216	7421.078
505.344	7425.314
505.472	7403.294
505.600	7362.314
505.728	7466.333
505.856	7443.078
505.985	7458.961
506.113	7453.000
506.241	7478.353
506.369	7460.490
506.497	7441.176
506.625	7532.451
506.753	7468.667
506.881	7516.667
507.010	7520.157
507.138	7522.216
507.266	7614.490
507.394	7553.863
507.522	7670.137
507.650	7614.235
507.778	7653.765
507.906	7696.922
508.035	7692.314
508.163	7737.510
508.291	7740.118
508.419	7867.157
508.547	7850.843
508.675	7898.196
508.803	7813.353
508.931	7888.667
509.060	7894.765
509.188	7888.176
509.316	7886.176
509.444	7899.431
509.572	8017.784
509.700	7933.490
509.828	8008.922
509.956	7979.941
510.085	7922.961
510.213	7970.373
510.341	7942.922
510.469	8019.941
510.597	8067.118
510.725	7979.549
510.853	8114.804
510.981	8078.078
511.110	8071.059
511.238	8061.020
511.366	8084.804
511.494	8079.412
511.622	8063.824
511.750	8132.431
511.878	8141.961
512.006	8098.020
512.135	8118.255
512.263	8145.255
512.391	8153.314
512.519	8156.588
512.647	8127.588
512.775	8221.549
512.903	8188.373
513.031	8173.745
513.160	8175.471
513.288	8240.686
513.416	8203.961
513.544	8198.882
513.672	8217.882
513.800	8219.824
513.928	8188.863
514.056	8271.863
514.185	8226.569
514.313	8202.490
514.441	8258.569
514.569	8203.314
514.697	8232.647
514.825	8203.843
514.953	8192.294
515.081	8164.196
515.210	8165.314
515.338	8263.647
515.466	8159.157
515.594	8146.863
515.722	8133.392
515.850	8139.882
515.978	8117.333
516.106	8173.510
516.235	8138.922
516.363	8171.765
516.491	8161.667
516.619	8187.765
516.747	8255.608
516.875	8204.824
517.003	8220.725
517.131	8209.392
517.260	8180.490
