spectrometer_90_70nm_einzel_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:40:41
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
485.997	6629.941
486.125	6059.216
486.253	5927.216
486.381	5902.157
486.510	5960.157
486.638	6042.843
486.766	6032.667
486.894	6066.098
487.022	6133.373
487.150	6126.667
487.278	6145.294
487.406	6110.196
487.535	6161.510
487.663	6241.176
487.791	6217.294
487.919	6260.882
488.047	6266.255
488.175	6336.863
488.303	6293.196
488.431	6347.863
488.560	6340.569
488.688	6374.922
488.816	6400.529
488.944	6446.765
489.072	6418.627
489.200	6461.275
489.328	6510.647
489.456	6540.373
489.585	6531.294
489.713	6537.510
489.841	6518.137
489.969	6539.608
490.097	6553.020
490.225	6524.176
490.353	6621.745
490.481	6559.412
490.610	6565.627
490.738	6549.059
490.866	6632.843
490.994	6550.863
491.122	6628.216
491.250	6591.490
491.378	6613.353
491.506	6693.412
491.635	6604.098
491.763	6624.333
491.891	6619.725
492.019	6715.980
492.147	6652.255
492.275	6626.824
492.403	6626.863
492.531	6823.706
492.660	6690.294
492.788	6721.255
492.916	6758.157
493.044	6703.961
493.172	6748.275
493.300	6733.235
493.428	6783.765
493.556	6798.647
493.685	6859.392
493.813	6814.098
493.941	6861.000
494.069	6883.078
494.197	6918.039
494.325	6978.529
494.453	7119.843
494.581	7020.235
494.710	7083.353
494.838	7081.667
494.966	7188.000
495.094	7108.412
495.222	7258.902
495.350	7209.902
495.478	7235.176
495.606	7284.725
495.735	7286.804
495.863	7338.235
495.991	7360.157
496.119	7378.980
496.247	7404.137
496.375	7393.020
496.503	7416.490
496.631	7412.961
496.760	7392.980
496.888	7393.784
497.016	7471.706
497.144	7434.941
497.272	7410.275
497.400	7448.941
497.528	7400.863
497.656	7416.510
497.785	7421.216
497.913	7394.176
498.041	7447.706
498.169	7417.039
498.297	7370.078
498.425	7530.255
498.553	7383.000
498.681	7404.706
498.810	7478.667
498.938	7390.549
499.066	7431.255
499.194	7480.157
499.322	7462.686
499.450	7439.784
499.578	7436.255
499.706	7474.784
499.835	7499.216
499.963	7485.725
500.091	7517.471
500.219	7492.471
500.347	7553.333
500.475	7542.157
500.603	7530.706
500.731	7569.824
500.860	7594.020
500.988	7629.176
501.116	7617.137
501.244	7687.980
501.372	7750.843
501.500	7736.431
501.628	7750.216
501.756	7749.118
501.885	7831.902
502.013	7791.294
502.141	7838.314
502.269	7813.353
502.397	7986.569
502.525	7924.529
502.653	8015.882
502.781	7982.804
502.910	8022.961
503.038	8026.176
503.166	8036.627
503.294	8019.980
503.422	8098.000
503.550	8081.471
503.678	8079.412
503.806	8092.745
503.935	8071.353
504.063	8113.843
504.191	8126.765
504.319	8105.824
504.447	8087.373
504.575	8094.843
504.703	8144.412
504.831	8043.078
504.960	8031.882
505.088	8111.098
505.216	8147.353
505.344	8175.725
505.472	8108.235
505.600	8085.059
505.728	8208.667
505.856	8207.078
505.985	8209.922
506.113	8186.863
506.241	8223.725
506.369	8197.647
506.497	8213.353
506.625	8279.490
506.753	8252.569
506.881	8289.706
507.010	8299.137
507.138	8257.098
507.266	8350.392
507.394	8342.784
507.522	8456.000
507.650	8362.961
507.778	8383.843
507.906	8461.490
508.035	8472.294
508.163	8535.902
508.291	8488.627
508.419	8630.824
508.547	8612.059
508.675	8645.314
508.803	8593.804
508.931	8625.157
509.060	8651.824
509.188	8655.922
509.316	8639.235
509.444	8660.314
509.572	8800.843
509.700	8690.667
509.828	8774.588
509.956	8802.980
510.085	8706.706
510.213	8752.255
510.341	8726.941
510.469	8792.647
510.597	8828.804
510.725	8766.255
510.853	8899.843
510.981	8861.490
511.110	8816.235
511.238	8797.020
511.366	8868.275
511.494	8889.471
511.622	8896.157
511.750	8922.471
511.878	8955.078
512.006	8904.176
512.135	8976.765
512.263	8926.176
512.391	8992.157
512.519	8986.882
512.647	8952.902
512.775	8988.824
512.903	8989.529
513.031	8955.784
513.160	8995.863
513.288	9069.667
513.416	9004.196
513.544	9014.196
513.672	8980.824
513.800	9087.647
513.928	9016.471
514.056	9020.510
514.185	9010.902
514.313	8965.490
514.441	9076.176
514.569	9026.255
514.697	9049.196
514.825	8979.235
514.953	9008.804
515.081	8957.608
515.210	8944.863
515.338	9056.275
515.466	8922.176
515.594	8988.216
515.722	8927.471
515.850	8957.020
515.978	8887.843
516.106	8951.647
516.235	8914.451
516.363	8945.608
516.491	8955.333
516.619	8968.804
516.747	9046.725
516.875	8995.216
517.003	8967.333
517.131	9025.863
517.260	8955.627
517.388	9012.824
517.516	9053.118
517.644	9073.667
517.772	9100.059
517.900	9074.745
518.028	9141.176
518.156	9150.020
518.284	9151.510
518.413	9182.353
518.541	9233.196
518.669	9279.922
518.797	9306.863
518.925	9262.118
519.053	9309.020
519.181	9298.980
519.309	9386.196
519.438	9402.000
519.566	9437.765
519.694	9415.157
519.822	9508.922
519.950	9476.902
520.078	9520.686
520.206	9574.627
520.334	9616.510
520.463	9540.157
520.591	9605.647
520.719	9622.980
520.847	9593.922
520.975	9579.745
521.103	9689.098
521.231	9591.725
521.359	9762.627
521.488	9670.686
521.616	9708.020
521.744	9596.176
521.872	9684.490
522.000	9572.078
522.128	9567.333
522.256	9588.333
522.384	9586.961
522.513	9523.471
522.641	9520.882
522.769	9611.471
522.897	9521.490
523.025	9500.549
523.153	9473.627
523.281	9529.784
523.409	9468.098
523.538	9481.804
523.666	9430.353
523.794	9485.255
523.922	9433.608
524.050	9417.373
524.178	9444.059
524.306	9436.314
524.434	9487.000
524.563	9525.451
524.691	9643.412
524.819	9497.255
524.947	9538.039
525.075	9545.275
525.203	9599.392
525.331	9583.745
525.459	9695.765
525.588	9649.373
525.716	9694.000
525.844	9667.333
525.972	9751.882
526.100	9749.412
526.228	9815.745
526.356	9789.667
526.484	9930.235
526.613	9856.255
526.741	9923.941
526.869	9965.176
526.997	10010.824
527.125	10065.118
527.253	10050.510
527.381	10159.706
527.509	10110.392
527.638	10201.294
527.766	10294.725
527.894	10255.980
528.022	10353.216
528.150	10306.196
528.278	10414.039
528.406	10375.706
528.534	10394.686
528.663	10396.059
528.791	10566.196
528.919	10430.431
529.047	10586.196
529.175	10456.961
