spectrometer_90_referenz_at_650.00nm_cut_at_1184.50Y_01.dat
02.05.2022
11:30:13
cut middle at Y: 1184.50
top cursor: 1210 down cursor: 1159 mean of: 51 lines , 2560 datapoints
wavelength(nm)	intensity[arb. units]
485.997	6859.686
486.125	6246.255
486.253	6074.627
486.381	6090.118
486.510	6125.627
486.638	6216.000
486.766	6208.608
486.894	6225.235
487.022	6299.941
487.150	6285.980
487.278	6282.569
487.406	6320.922
487.535	6377.059
487.663	6378.118
487.791	6376.510
487.919	6405.078
488.047	6396.627
488.175	6462.314
488.303	6468.333
488.431	6513.157
488.560	6547.412
488.688	6561.059
488.816	6560.843
488.944	6627.667
489.072	6649.471
489.200	6672.569
489.328	6671.392
489.456	6718.078
489.585	6722.392
489.713	6734.392
489.841	6651.647
489.969	6719.039
490.097	6735.667
490.225	6720.098
490.353	6779.471
490.481	6749.373
490.610	6757.020
490.738	6727.686
490.866	6831.980
490.994	6738.196
491.122	6817.294
491.250	6796.941
491.378	6782.667
491.506	6857.000
491.635	6806.353
491.763	6806.314
491.891	6828.941
492.019	6873.765
492.147	6797.843
492.275	6803.980
492.403	6831.216
492.531	6963.725
492.660	6922.451
492.788	6915.255
492.916	6955.863
493.044	6868.804
493.172	6922.059
493.300	6966.647
493.428	6965.784
493.556	7001.059
493.685	7016.196
493.813	7056.235
493.941	7107.529
494.069	7107.314
494.197	7141.549
494.325	7160.882
494.453	7329.647
494.581	7257.275
494.710	7280.627
494.838	7310.725
494.966	7391.667
495.094	7324.961
495.222	7417.118
495.350	7439.431
495.478	7481.843
495.606	7508.804
495.735	7510.510
495.863	7531.196
495.991	7567.039
496.119	7614.059
496.247	7670.902
496.375	7619.020
496.503	7593.706
496.631	7658.451
496.760	7595.275
496.888	7638.588
497.016	7620.000
497.144	7639.059
497.272	7632.922
497.400	7632.118
497.528	7623.020
497.656	7629.294
497.785	7618.098
497.913	7603.471
498.041	7625.098
498.169	7633.882
498.297	7594.314
498.425	7724.843
